query_id,alignment_title,e_value,identity,accession,taxonomy,species
Query_7713931,"gi|2450763284|gb|OP762429.1| Duck hepatitis B virus strain E170101AH, complete genome",0.0,2737,OP762429,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|40786842|gb|AY494851.1| Duck hepatitis B virus, complete genome",0.0,2725,AY494851,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763360|gb|OP762448.1| Duck hepatitis B virus strain Y190202HN, complete genome",0.0,2722,OP762448,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|40786836|gb|AY494850.1| Duck hepatitis B virus, complete genome",0.0,2722,AY494850,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763364|gb|OP762449.1| Duck hepatitis B virus strain Y190226AH, complete genome",0.0,2714,OP762449,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|37549279|gb|AY392760.1| Duck hepatitis B virus isolate GD1, complete genome",0.0,2715,AY392760,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563955|gb|OQ183601.1| Duck hepatitis B virus strain Y220201, complete genome",0.0,2712,OQ183601,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563943|gb|OQ183598.1| Duck hepatitis B virus strain Y200106, complete genome",0.0,2712,OQ183598,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|302319036|gb|HM590411.1| Duck hepatitis B virus strain DHBV-WS, complete genome",0.0,2710,HM590411,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|311036253|gb|HQ328779.1| Duck hepatitis B virus strain DHBV-JZ, complete genome",0.0,2707,HQ328779,Avihepadnavirus,hepatitis B virus
Query_7713931,gi|59055|emb|X58568.1| Duck hepatitis B virus,0.0,2708,X58568,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563947|gb|OQ183599.1| Duck hepatitis B virus strain Y200109, complete genome",0.0,2708,OQ183599,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563983|gb|OQ183608.1| Duck hepatitis B virus strain Y210829, complete genome",0.0,2705,OQ183608,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763336|gb|OP762442.1| Duck hepatitis B virus strain Y180830HN, complete genome",0.0,2707,OP762442,Avihepadnavirus,hepatitis B virus
Query_7713931,gi|59056|emb|X58569.1| Duck hepatitis B virus,0.0,2706,X58569,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763328|gb|OP762440.1| Duck hepatitis B virus strain Y180724AH, complete genome",0.0,2704,OP762440,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563971|gb|OQ183605.1| Duck hepatitis B virus strain Y200226, complete genome",0.0,2703,OQ183605,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2169768407|gb|MZ048741.1| Duck hepatitis B virus isolate AAU-6, complete genome",0.0,2702,MZ048741,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563963|gb|OQ183603.1| Duck hepatitis B virus strain Y220217, complete genome",0.0,2704,OQ183603,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|82592699|gb|DQ276978.1| Duck hepatitis B virus, complete genome",0.0,2701,DQ276978,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563951|gb|OQ183600.1| Duck hepatitis B virus strain Y210928, complete genome",0.0,2703,OQ183600,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|44829147|gb|AY536371.1| Duck hepatitis B virus strain GD3, complete genome",0.0,2702,AY536371,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763296|gb|OP762432.1| Duck hepatitis B virus strain E180606HB, complete genome",0.0,2704,OP762432,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|325435|gb|M21953.1|HPUGA Duck hepatitis B virus, complete genome",0.0,2704,M21953,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563959|gb|OQ183602.1| Duck hepatitis B virus strain Y211013, complete genome",0.0,2698,OQ183602,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2301572970|gb|MZ031969.1| Duck hepatitis B virus isolate AAU-1, complete genome",0.0,2697,MZ031969,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2169768578|gb|MZ048742.1| Duck hepatitis B virus isolate AAU-16, complete genome",0.0,2693,MZ048742,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563979|gb|OQ183607.1| Duck hepatitis B virus strain Y200722, complete genome",0.0,2701,OQ183607,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|325448|gb|M32990.1|HPUS5CG Duck hepatitis B virus complete genome, from brown Shanghai duck",0.0,2697,M32990,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2230207398|gb|MZ054255.1| Duck hepatitis B virus isolate AAU-19, complete genome",0.0,2694,MZ054255,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763320|gb|OP762438.1| Duck hepatitis B virus strain Y180613HN, complete genome",0.0,2696,OP762438,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2502825492|gb|OP850044.1| Duck hepatitis B virus isolate SDTZ2193, complete genome",0.0,2667,OP850044,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2502825492|gb|OP850044.1| Duck hepatitis B virus isolate SDTZ2193, complete genome",1.49611e-05,42,OP850044,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|9625568|ref|NC_001344.1| Duck hepatitis B virus, complete genome",0.0,2693,NC_001344,Avihepadnavirus,hepatitis B virus
Query_7713931,gi|59058|emb|X60213.1| Duck hepatitis B virus complete genome,0.0,2693,X60213,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563939|gb|OQ183597.1| Duck hepatitis B virus strain Y200825, complete genome",0.0,2690,OQ183597,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563967|gb|OQ183604.1| Duck hepatitis B virus strain Y200122, complete genome",0.0,2692,OQ183604,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|15150396|gb|AF404406.1|AF404406 Duck hepatitis B virus, complete genome",0.0,2688,AF404406,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|1442786803|gb|MF471768.1| Duck hepatitis B virus isolate SD-01, complete genome",0.0,2688,MF471768,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|410026809|gb|JX469897.1| Duck hepatitis B virus isolate DHBV2, complete genome",0.0,2688,JX469897,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763352|gb|OP762446.1| Duck hepatitis B virus strain Y181114AH, complete genome",0.0,2689,OP762446,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563975|gb|OQ183606.1| Duck hepatitis B virus strain Y200619, complete genome",0.0,2687,OQ183606,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763344|gb|OP762444.1| Duck hepatitis B virus strain Y181110HN, complete genome",0.0,2688,OP762444,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763340|gb|OP762443.1| Duck hepatitis B virus strain Y180926HB, complete genome",0.0,2688,OP762443,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|38017493|gb|AY433937.1| Duck hepatitis B virus strain GD2, complete genome",0.0,2688,AY433937,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763308|gb|OP762435.1| Duck hepatitis B virus strain Y180317HB, complete genome",0.0,2685,OP762435,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2301572955|gb|MZ031968.1| Duck hepatitis B virus isolate AAU-14, complete genome",0.0,2679,MZ031968,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763356|gb|OP762447.1| Duck hepatitis B virus strain Y181229HN, complete genome",0.0,2683,OP762447,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|410026813|gb|JX469898.1| Duck hepatitis B virus isolate DHBV3, complete genome",0.0,2683,JX469898,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|296142305|gb|HM043822.1| Duck hepatitis B virus strain DHBV-xz-1, complete genome",0.0,2683,HM043822,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|45775509|gb|AY521226.1| Duck hepatitis B virus strain A, complete genome",0.0,2683,AY521226,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763332|gb|OP762441.1| Duck hepatitis B virus strain Y180813HB, complete genome",0.0,2682,OP762441,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|45775513|gb|AY521227.1| Duck hepatitis B virus strain B, complete genome",0.0,2681,AY521227,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763348|gb|OP762445.1| Duck hepatitis B virus strain Y181111HB, complete genome",0.0,2678,OP762445,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763316|gb|OP762437.1| Duck hepatitis B virus strain Y180612AH, complete genome",0.0,2677,OP762437,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|410026805|gb|JX469896.1| Duck hepatitis B virus isolate DHBV1, complete genome",0.0,2679,JX469896,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|3218460|emb|AJ006350.1| Duck hepatitis B virus, complete genome",0.0,2676,AJ006350,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|325444|gb|M32991.1|HPUS31CG Duck hepatitis B virus complete genome, from white Shanghai duck",0.0,2675,M32991,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482564023|gb|OQ183618.1| Duck hepatitis B virus strain E200529, complete genome",0.0,2674,OQ183618,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482564015|gb|OQ183616.1| Duck hepatitis B virus strain E210814, complete genome",0.0,2673,OQ183616,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563987|gb|OQ183609.1| Duck hepatitis B virus strain E200402, complete genome",0.0,2670,OQ183609,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563991|gb|OQ183610.1| Duck hepatitis B virus strain E200422, complete genome",0.0,2668,OQ183610,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763292|gb|OP762431.1| Duck hepatitis B virus strain E180402HN, complete genome",0.0,2666,OP762431,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482564027|gb|OQ183619.1| Duck hepatitis B virus strain E200801, complete genome",0.0,2665,OQ183619,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482564019|gb|OQ183617.1| Duck hepatitis B virus strain E220324, complete genome",0.0,2665,OQ183617,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|169116551|gb|EU429324.1| Duck hepatitis B virus isolate CH4, complete genome",0.0,2392,EU429324,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|169116551|gb|EU429324.1| Duck hepatitis B virus isolate CH4, complete genome",7.20116e-168,392,EU429324,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482564011|gb|OQ183615.1| Duck hepatitis B virus strain E210620, complete genome",0.0,2664,OQ183615,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563999|gb|OQ183612.1| Duck hepatitis B virus strain E210501, complete genome",0.0,2664,OQ183612,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482563995|gb|OQ183611.1| Duck hepatitis B virus strain E200731, complete genome",0.0,2664,OQ183611,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482564007|gb|OQ183614.1| Duck hepatitis B virus strain E210526, complete genome",0.0,2663,OQ183614,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2482564003|gb|OQ183613.1| Duck hepatitis B virus strain E210321, complete genome",0.0,2661,OQ183613,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763312|gb|OP762436.1| Duck hepatitis B virus strain Y180610AH, complete genome",0.0,2663,OP762436,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763288|gb|OP762430.1| Duck hepatitis B virus strain E180327HB, complete genome",0.0,2656,OP762430,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763324|gb|OP762439.1| Duck hepatitis B virus strain Y180702HN, complete genome",0.0,2651,OP762439,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|4530332|gb|AF111000.1|AF111000 Snow goose hepatitis B virus isolate SGHBV1-9, complete genome",0.0,2655,AF111000,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|4530331|gb|AF110999.1|AF110999 Snow goose hepatitis B virus isolate SGHBV1-7, complete genome",0.0,2656,AF110999,Avihepadnavirus,hepatitis B virus
